movie_name,month,year,budget,runtime,mpaa,screens,opening_week,domestic_box_office,international_box_office,worldwide_box_office,country
The Haunting of Molly Hartley,,2008,5000000,86,PG-13,2652,5423315,13442412,1875845,15318257,United States
Woody Woodpecker,10,2017,,94,PG,,,,15316635,15316635,United States
Ak-ui yeon-dae-gi,5,2015,,102,,,,,15315552,15315552,Republic of Korea
The Assassination of Jesse James by the Coward Robert Ford,,2007,30000000,160,R,5,147812,3909149,11404482,15313631,United States
The Dreamers,4,2004,,115,NC-17,5,142632,2531462,12775651,15307113,"France, Italy, United Kingdom, United States"
Tamasha,11,2015,,151,Not,179,1006059,2065487,13239279,15304766,India
Mucize,1,2015,,136,,,,,15301749,15301749,Turkey
Ida,3,2014,2600000,80,PG-13,3,55438,3827060,11471295,15298355,"Denmark, Poland"
"The Goods: Live Hard, Sell Hard",,2009,10000000,89,R,1838,5642137,15122676,174642,15297318,United States
Maiko haaaan!!!,,2007,,,,,,,15287683,15287683,Japan
Raavan,,2010,,,Not,120,482760,708726,14575649,15284375,India
Autoreiji: Biyondo,10,2012,,112,R,,,3878,15229555,15233433,Japan
Kureyon Shinchan: Shūrai! Uchūjin Shiriri,4,2017,,107,,,,,15227612,15227612,Japan
Mix,10,2017,,120,,,,,15224207,15224207,Japan
My Old Lady,11,2014,5000000,107,PG-13,11,124680,4011530,11208778,15220308,"France, United States"
North East: Past Po Ma Zhang Fei,2,2017,,,,,,,15208575,15208575,"China, Hong Kong"
Hyeobsang,9,2018,,114,Not,2,23764,109856,15096922,15206778,Republic of Korea
Celda 211,,2009,,,,,,,15200000,15200000,"France, Spain"
Snezhnaya koroleva,12,2012,7000000,,PG,,,,15193977,15193977,Russian Federation
The Fable,6,2019,,123,,,,,15184913,15184913,Japan
Miss Pettigrew Lives for a Day,,2008,,92,PG-13,535,2490942,12313694,2859259,15172953,United Kingdom
Bikur Ha-Tizmoret,,2008,750000,89,PG-13,7,67492,3053823,12107824,15161647,Israel
