movie_name,month,year,budget,runtime,genres,mpaa,screens,opening_week,domestic_box_office,international_box_office,worldwide_box_office,country
Australia,11,2008,130000000.0,165.0,Adventure Drama Romance War Western,PG-13,2721,14800723.0,49554002.0,162233509.0,211788739.0,
My Bloody Valentine,1,2009,15000000.0,101.0,Horror Mystery Thriller,R,2534,21241456.0,51545952.0,49188766.0,100734718.0,
Notorious,1,2009,20000000.0,122.0,Biography Crime Drama Music,R,1641,20497596.0,36843682.0,7576485.0,44420316.0,
Transformers: Revenge of the Fallen,6,2009,200000000.0,149.0,Action Adventure Sci-Fi,PG-13,4293,108966307.0,402111870.0,434191823.0,836303693.0,
Harry Potter and the Half-Blood Prince,7,2009,250000000.0,153.0,Action Adventure Family Fantasy Mystery,PG,4455,77835727.0,301959197.0,632000000.0,933959197.0,
Up,5,2009,175000000.0,96.0,Adventure Animation Comedy Drama Family,PG,3886,68108790.0,293004164.0,442094918.0,735099082.0,
The Hangover,6,2009,35000000.0,100.0,Comedy,R,3545,44979319.0,277322503.0,191490290.0,468812793.0,
Star Trek,5,2009,150000000.0,127.0,Action Adventure Sci-Fi,PG-13,4053,75204289.0,257730019.0,127950427.0,385680446.0,
Ice Age: Dawn of the Dinosaurs,7,2009,90000000.0,94.0,Adventure Animation Comedy Family,PG,4102,41690382.0,196573705.0,690113112.0,886686817.0,
X-Men Origins: Wolverine,5,2009,150000000.0,107.0,Action Sci-Fi,PG-13,4102,85058003.0,179883157.0,193179707.0,373062864.0,
Night at the Museum: Battle of the Smithsonian,5,2009,150000000.0,105.0,Adventure Comedy Family Fantasy,PG,4101,54173286.0,177243721.0,235862449.0,413106170.0,
The Proposal,6,2009,40000000.0,108.0,Comedy Drama Romance,PG-13,3158,33627598.0,163958031.0,153417000.0,317375031.0,
G.I. Joe: The Rise of Cobra,8,2009,175000000.0,118.0,Action Adventure Sci-Fi Thriller,PG-13,4007,54713046.0,150201498.0,152267519.0,302469017.0,
Angels & Demons,5,2009,150000000.0,138.0,Action Mystery Thriller,PG-13,3527,46204168.0,133375846.0,352554970.0,485930816.0,
Terminator Salvation,5,2009,200000000.0,115.0,Action Adventure Sci-Fi,PG-13,3602,42558390.0,125322469.0,246030532.0,371353001.0,
G-Force,7,2009,150000000.0,88.0,Action Adventure Animation Comedy Family Fantasy Sci-Fi,PG,3697,31706934.0,119436770.0,173381071.0,292817841.0,
District 9,8,2009,30000000.0,112.0,Action Sci-Fi Thriller,R,3180,37354308.0,115646235.0,95242715.0,210888950.0,
Public Enemies,7,2009,100000000.0,140.0,Action Biography Crime Drama History,R,3336,25271675.0,97104620.0,117000000.0,214104620.0,
